id,lon,lat,x,y,heading
1,109.7773916160547,39.60455991738796,499363.9899049738,4383868.764319193,295.4849522682693
2,109.7774116505978,39.60452737778009,499365.7095745339,4383865.15284628,295.31306492973005
3,109.7774314508546,39.60449475313705,499367.409131424,4383861.53193799,295.0838818116777
4,109.7774511380436,39.60446208755175,499369.0989826514,4383857.90648701,295.25576915021696
5,109.7774712333929,39.60442957039749,499370.823877448,4383854.29750683,295.4849522682693
6,109.7774912183719,39.6043970126598,499372.5392981785,4383850.684023771,295.37036070924313
7,109.7775111312215,39.60436442840109,499374.248527951,4383847.067598246,295.1984733707039
8,109.7775308703058,39.60433178101663,499375.9428409484,4383843.444168461,295.1411775911908
9,109.7775506870111,39.60429916185396,499377.6438195879,4383839.823870663,295.25576915021696
10,109.7775706143052,39.60426658288932,499379.3542942645,4383836.208033777,295.31306492973005
11,109.7775905415805,39.60423400392107,499381.0647689411,4383832.592196892,295.31306492973005
12,109.7776104828525,39.60420143008421,499382.776446887,4383828.976929805,295.37036070924313
13,109.7776304439265,39.60416886350574,499384.4898265133,4383825.362468538,295.37036070924313
14,109.7776504049818,39.60413629692365,499386.2032061396,4383821.748007271,295.31306492973005
15,109.7776703299768,39.60410371715035,499387.9134914559,4383818.132082654,295.31306492973005
16,109.7776902140102,39.60407112239247,499389.620261663,4383814.514495688,295.25576915021696
17,109.7777100980249,39.604038527631,499391.3270318702,4383810.896908721,295.25576915021696
18,109.7777299580759,39.6040059241359,499393.0317462948,4383807.278353035,295.1984733707039
19,109.777749802014,39.60397331476955,499394.7350789726,4383803.659146245,295.1984733707039
20,109.7777635714247,39.60395068759992,499395.9169968747,4383801.147831014,295.1984733707039
21,109.7777660519141,39.60394661142855,499396.1299134594,4383800.695430165,295.4276564887562
22,109.7777860428125,39.60391405582411,499397.8458661698,4383797.08218975,295.4276564887562
23,109.7778082162111,39.60387794119084,499399.7491593307,4383793.073944816,295.4276564887562
24,109.7778107021032,39.60387386699031,499399.9625402065,4383792.621762771,295.1984733707039
25,109.777830552909,39.60384126013823,499401.6664689889,4383789.00283659,295.1984733707039
26,109.7778504036962,39.60380865328258,499403.3703977714,4383785.383910409,295.25576915021696
27,109.7778703198572,39.60377607030838,499405.0799407628,4383781.767634618,295.31306492973005
28,109.7778902566392,39.60374349486932,499406.7912557487,4383778.152195361,295.37036070924313
29,109.7779102333492,39.60371093409211,499408.5060003404,4383774.53838345,295.4276564887562
30,109.7779302501136,39.603678388023,499410.2241853665,4383770.926204023,295.4276564887562
31,109.7779502668592,39.60364584195028,499411.9423703927,4383767.314024596,295.37036070924313
32,109.7779701551438,39.60361324887001,499413.6495280982,4383763.696629393,295.1984733707039
33,109.777989987724,39.60358063540778,499415.3519049402,4383760.076972905,295.1984733707039
34,109.7780098278492,39.6035480246962,499417.0549311541,4383756.457622037,295.1984733707039
35,109.7780296828515,39.60351541940509,499418.7592362239,4383752.838873051,295.1984733707039
36,109.7780495378351,39.60348281411041,499420.4635412937,4383749.220124064,295.31306492973005
37,109.7780695008057,39.60345024839835,499422.1771191183,4383745.605767762,295.4276564887562
38,109.7780895453773,39.603417712598,499423.8977043743,4383741.994731016,295.4849522682693
39,109.7781095692239,39.60338516916887,499425.6165118936,4383738.382848148,295.4276564887562
40,109.7781295605075,39.60335261376273,499427.3325253477,4383734.76963665,295.4276564887562
41,109.7781495486316,39.60332005719837,499429.04826915,4383731.15629703,295.31306492973005
42,109.778169391159,39.60328744743481,499430.7515144169,4383727.537054549,295.1984733707039
43,109.778189203632,39.60325482669224,499432.452180962,4383723.916594177,295.0838818116777
44,109.7782089304515,39.60322217491942,499434.1454953553,4383720.292690919,295.0838818116777
45,109.7782286822914,39.60318953233877,499435.8409594623,4383716.669808068,295.31306492973005
46,109.7782487702808,39.60315701259224,499437.565285186,4383713.060555958,295.4849522682693
47,109.7782688051267,39.60312447329512,499439.285049905,4383709.449134809,295.37036070924313
48,109.7782887429037,39.60309189828524,499440.996482394,4383705.833751173,295.31306492973005
49,109.7783086581641,39.60305931504545,499442.7059833295,4383702.217454699,295.25576915021696
50,109.7783285420389,39.60302672033281,499444.4127912639,4383698.599885533,295.31306492973005
51,109.7783485438905,39.60299416894362,499446.1297296818,4383694.987124185,295.4276564887562
52,109.7783685691818,39.60296162622331,499447.8486821236,4383691.375325193,295.25576915021696
53,109.7783883476617,39.60292899317106,499449.5464461946,4383687.753502839,295.25576915021696
54,109.7784082948693,39.60289642212235,499451.2586979746,4383684.138561166,295.5422480477824
55,109.7784284982486,39.60286394520918,499452.992944996,4383680.53406574,295.25576915021696
56,109.7784480681797,39.60283123718397,499454.6728089038,4383676.903925153,295.0265860321647
57,109.7784679026233,39.60279862528751,499456.3753841356,4383673.284451971,295.37036070924313
58,109.7784879880305,39.60276610462613,499458.0995074731,4383669.675103177,295.5422480477824
59,109.7785080482705,39.60273357467734,499459.8214716804,4383666.064724201,295.4849522682693
60,109.7785280694743,39.60270103038359,499461.5400860501,4383662.452753823,295.37036070924313
61,109.7785479440982,39.6026684323303,499463.246117376,4383658.834818346,295.1984733707039
